Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-17;Mujer;Villaverde;Entre 56 y 65 años;Española;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio;9100;Empleados domésticos
ene-17;Mujer;Chamberí;Entre 36 y 45 años;Española;2311;Profesores de educación especial;5721;Cuidadores de niños en guarderías y centros educativos;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes
ene-17;Hombre;Tetuán;Menor de 25 años;Española;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;9811;Peones del transporte de mercancías y descargadores;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados
ene-17;Hombre;Puente De Vallecas;Menor de 25 años;Española;5611;Auxiliares de enfermería hospitalaria;5611;Auxiliares de enfermería hospitalaria;;
ene-17;Hombre;Puente De Vallecas;Entre 36 y 45 años;Española;9811;Peones del transporte de mercancías y descargadores;9820;Reponedores;9431;Ordenanzas
ene-17;Hombre;Puente De Vallecas;Entre 36 y 45 años;Española;7131;Carpinteros (excepto ebanistas);9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9820;Reponedores
ene-17;Hombre;Fuencarral-el Pardo;Entre 56 y 65 años;Española;3510;Agentes y representantes comerciales;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;;
ene-17;Mujer;Carabanchel;Entre 56 y 65 años;Española;9443;Barrenderos y afines;9310;Ayudantes de cocina;9602;Peones de la construcción de edificios
ene-17;Mujer;Puente De Vallecas;Entre 36 y 45 años;Española;5721;Cuidadores de niños en guarderías y centros educativos;9820;Reponedores;5721;Cuidadores de niños en guarderías y centros educativos
ene-17;Hombre;Retiro;Entre 56 y 65 años;Española;5220;Vendedores en tiendas y almacenes;5220;Vendedores en tiendas y almacenes;3522;Agentes de compras
ene-17;Hombre;Otro Municipio;Entre 46 y 55 años;Extracomunitaria;7899;Oficiales, operarios y artesanos de otros oficios no clasificados bajo otros epígrafes;9811;Peones del transporte de mercancías y descargadores;7533;Instaladores y reparadores en tecnologías de la información y las comunicaciones
ene-17;Hombre;Arganzuela;Entre 46 y 55 años;Española;2723;Analistas de redes informáticas;3813;Técnicos en redes;3510;Agentes y representantes comerciales
ene-17;Hombre;Vicálvaro;Entre 36 y 45 años;Comunitaria;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;9811;Peones del transporte de mercancías y descargadores;8412;Conductores asalariados de automóviles, taxis y furgonetas
ene-17;Mujer;Carabanchel;Entre 36 y 45 años;Española;5220;Vendedores en tiendas y almacenes;9820;Reponedores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-17;Hombre;Arganzuela;Entre 46 y 55 años;Española;5833;Conserjes de edificios;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines
ene-17;Mujer;Tetuán;Entre 46 y 55 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;5721;Cuidadores de niños en guarderías y centros educativos;4412;Recepcionistas (excepto de hoteles)
ene-17;Hombre;San Blas;Menor de 25 años;Española;4113;Empleados de oficina de servicios estadísticos, financieros y bancarios;4111;Empleados de contabilidad;3613;Asistentes de dirección y administrativos
ene-17;Mujer;Villaverde;Entre 56 y 65 años;Española;9310;Ayudantes de cocina;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9221;Limpiadores en seco a mano y afines
ene-17;Mujer;Carabanchel;Entre 26 y 35 años;Española;5500;Cajeros y taquilleros (excepto bancos);9310;Ayudantes de cocina;;
ene-17;Mujer;Tetuán;Menor de 25 años;Comunitaria;9820;Reponedores;5220;Vendedores en tiendas y almacenes;3110;Delineantes y dibujantes técnicos
